monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
530750005_01,-117.8739,46.8153,468,America/Los_Angeles,US,WA,Lacrosse-Hill St,Washington Department of Ecology,Whitman,"Pullman, WA",NA,530750005,01,530750005,NA,AIRNOW,NA,NA
CC0050134_01,-73.572039,45.542767,NA,America/New_York,CA,QC,Molson,Canada-Quebec2,NA,NA,NA,CC0050134,01,CC0050134,NA,AIRNOW,NA,NA
840410190004_01,-123.382212,43.152911,150,America/Los_Angeles,US,OR,Roseburg Fire Dept,Oregon Dept. of Environmental Quality,Douglas,NA,NA,840410190004,01,840410190004,NA,AIRNOW,NA,NA
040210001_01,-111.752222,32.877583,NA,America/Phoenix,US,AZ,Casa Grande Downtown,Pinal County Air Quality Control District,Pinal,"Phoenix-Mesa-Scottsdale, AZ",NA,040210001,01,040210001,NA,AIRNOW,NA,NA
000061402_01,-80.2961,43.1403,NA,America/Toronto,CA,ON,Brantford,Ontario Ministry of the Environment,Ontario,NA,NA,000061402,01,000061402,NA,AIRNOW,NA,NA
510590030_01,-77.108902,38.771702,68,America/New_York,US,VA,FRANCONIA,Virginia Dept. of Environmental Quality,Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,510590030,01,510590030,NA,AIRNOW,NA,NA
530730005_01,-122.554398,48.950699,2,America/Los_Angeles,US,WA,Custer-Loomis (SO-AQS),Washington Department of Ecology,Whatcom,"Bellingham, WA",NA,530730005,01,530730005,NA,AIRNOW,NA,NA
530331011_01,-122.3203,47.5297,9,America/Los_Angeles,US,WA,Seattle-South Park,Washington Department of Ecology,King,"Seattle-Tacoma-Bellevue, WA",NA,530331011,01,530331011,NA,AIRNOW,NA,NA
401359021_01,-94.524414,35.408138,137,America/Chicago,US,OK,ROLAND,Cherokee Nation,Sequoyah,"Fort Smith, AR-OK",NA,401359021,01,401359021,NA,AIRNOW,NA,NA
060195001_01,-119.7164,36.819199,NA,America/Los_Angeles,US,CA,Clovis - N. Villa Ave,San Joaquin Valley Unified APCD,Fresno,"Fresno, CA",NA,060195001,01,060195001,NA,AIRNOW,NA,NA
060792007_01,-120.58777,35.04676,30,America/Los_Angeles,US,CA,Nipomo Mesa CDF,San Luis Obispo County APCD,San Luis Obispo,NA,NA,060792007,01,060792007,NA,AIRNOW,NA,NA
131210055_01,-84.3578,33.7206,NA,America/New_York,US,GA,United Ave,Georgia Department of Natural Resources,Fulton,"Atlanta-Sandy Springs-Marietta, GA",NA,131210055,01,131210055,NA,AIRNOW,NA,NA
060798002_01,-120.666203,35.494556,260,America/Los_Angeles,US,CA,Atascadero2,San Luis Obispo County APCD,San Luis Obispo,"San Luis Obispo-Paso Robles, CA",NA,060798002,01,060798002,NA,AIRNOW,NA,NA
120330004_01,-87.204399,30.525,NA,America/Chicago,US,FL,Ellyson Industrial Park,Florida Dept. of Environmental Protection,Escambia,"Pensacola-Ferry Pass-Brent, FL",NA,120330004,01,120330004,NA,AIRNOW,NA,NA
270370480_01,-93.285803,44.706123,NA,America/Chicago,US,MN,Lakeville - Near Road,Minnesota Pollution Control Agency,Dakota,NA,NA,270370480,01,270370480,NA,AIRNOW,NA,NA
440070030_01,-71.417457,41.829495,23,America/New_York,US,RI,Near Road,Rhode Island Dept. of Environmental Management,Providence,"Providence-New Bedford-Fall River, RI-MA",NA,440070030,01,440070030,NA,AIRNOW,NA,NA
250250042_01,-71.082497,42.329399,NA,America/New_York,US,MA,Boston - Roxbury,Massachusetts Dept. of Environmental Protection,Suffolk,"Boston-Cambridge-Quincy, MA-NH",NA,250250042,01,250250042,NA,AIRNOW,NA,NA
190130009_01,-92.315804,42.5014,NA,America/Chicago,US,IA,"Waterloo, Water Tower",Iowa DNR,Black Hawk,"Waterloo-Cedar Falls, IA",NA,190130009,01,190130009,NA,AIRNOW,NA,NA
450450015_01,-82.414597,34.843899,308,America/New_York,US,SC,Greenville-ESC,South Carolina DHEC,Greenville,"Greenville, SC",NA,450450015,01,450450015,NA,AIRNOW,NA,NA
160790017_01,-116.236867,47.536712,680,America/Los_Angeles,US,ID,Pinehurst,Idaho Department of Environmental Quality,Shoshone,NA,NA,160790017,01,160790017,NA,AIRNOW,NA,NA
060731006_01,-116.768326,32.842297,622,America/Los_Angeles,US,CA,Alpine,San Diego APCD,San Diego,"San Diego-Carlsbad-San Marcos, CA",NA,060731006,01,060731006,NA,AIRNOW,NA,NA
060731022_01,-116.944222,32.789561,144,America/Los_Angeles,US,CA,El Cajon - Lexington Elementary School,San Diego APCD,San Diego,"San Diego-Carlsbad-San Marcos, CA",NA,060731022,01,060731022,NA,AIRNOW,NA,NA
150031004_01,-157.8711,21.3039,NA,Pacific/Honolulu,US,HI,SAND ISLAND 2 - ANUENUE FISHERIES,Hawaii State Dept. of Health,Honolulu,"Honolulu, HI",NA,150031004,01,150031004,NA,AIRNOW,NA,NA
300130001_01,-111.303317,47.494318,NA,America/Denver,US,MT,Great Falls Overlook Park,Montana DEQ,Cascade,NA,NA,300130001,01,300130001,NA,AIRNOW,NA,NA
